SMILES,Affinity,Ionization
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C=C)(F)F)(F)F)(F)F)(F)F,0.36,6.99
C(C(=O)OCC)(CCC#N)CCC#N,-0.11,6.58
S(CCCC)(OCC)([O])[O],-0.81,6.75
O(C(C)(C)C)C(=O)OC(=O)OC(C)(C)C,-0.79,6.68
C(S(=O)(=O)N)CCCCS(=O)(=O)N,-0.42,6.8
S(=O)(=O)(CCCC)CCCC,-0.76,6.27
[C@H](CCC(=O)O)(CCCC)C,-0.28,6.25
C(CCCCC)[C@@H]1OC(=O)CCC1,-0.51,6.23
[Si](OCC)(OCC)(OCC)OCC,-0.99,6.02
P(=O)(OCC)(OCC)CC,-0.82,6.2
C(=O)(OC)[C@H]1[C@H](C(=O)OC)CCC1,-0.1,6.22
P(=O)(OCC)(OCC)C=C,0.4,6.2
C(F)(F)(F)[C@@H]1OC(=O)OC1,-0.5,7.41
[C@H](CC(=O)OC)(C(=O)OC)C,-0.45,6.36
[C@H](C[C@@H](C#N)C)(CCC#N)C#N,-0.53,7.47
C(C(CC(=O)O)(C)C)C(=O)O,-0.56,6.29
[C@H](CC(=O)OC)(C(=O)OC)C#N,0.28,6.75
N(C(F)(F)F)(C(F)(F)F)C(F)F,-0.69,7.73
P(=O)([C@@H](CC(=O)OCC)C)(OC)OC,-0.62,6.17
O(S(C)([O])[O])[C@H]1C(C)(C)[C@H](OS(C)([O])[O])CCC1,-0.6,6.05
C(=O)(OCC(F)(F)F)CCC(=O)OCC(F)(F)F,0.21,6.86
O(C(=O)CCCC)CCCC,-0.61,6.15
O(S(C)([O])[O])[C@@H]1[C@@H](C)[C@@H](OS(C)([O])[O])CCC1,-0.6,6.22
C(=O)(CCCCCCC(=O)OCC)OCC,-0.63,6.19
C(C(=O)OCC)(CCC(=O)OCC)CCC(=O)OCC,-0.21,6.21
O(C(=O)C)[C@H]1[C@H](OC(=O)C)[C@@H](COC(=O)C)O[C@H]([C@@H]1OC(=O)C)OC(=O)C,0.01,6.23
C(=O)(CCCCCCCCCCCCC(=O)OC)OC,-0.78,6.27
P(=O)(CC(=O)C)(OCC)OCC,0.36,6.07
N(C(F)(F)F)(C(F)(F)F)C(F)(F)F,-1.07,7.94
P(=O)(OC(C)C)(OC(C)C)OC(C)C,-0.79,6.19
C(C(=O)OCC)(C(=O)OCC)CC,0.05,6.12
C(=O)(CC(=O)OCC)OCC,-0.08,6.27
[N]1[S@@]([O])(O[Ca]O[S@@]1([O])C(F)(F)F)C(F)(F)F.C(=O)N(C)C,0.28,6.49
S(=O)(=O)(C)C.[N]1[S@@]([O])(O[Ca]O[S@@]1([O])C(F)(F)F)C(F)(F)F,0.24,6.51
C1C[C@H]([C@H](C1)C(=N)O)C(=N)O,-0.48,6.09
C1CCC(C1)(C(=N)O)C(=N)O,-0.05,6.3
COCCOCCOC.[N]1[S@@]([O])(O[Mg]O[S@@]1([O])C(F)(F)F)C(F)(F)F,0.38,7.29
C1C[C@H](C[C@@H]1C(=N)O)C(=N)O,-0.44,6.0
