SMILES,Affinity,Ionization
N(=[N])c1ccc(cc1)OC.[Cl],3.44,4.9
C(=C(\C=C)/C)/C1=C(C)C(=O)C(=C(C1=O)OC)OC,2.56,4.43
[C]1([C]2C(=C(C(=C2Cl)Cl)Cl)Cl)C(=C(C(=C1Cl)Cl)Cl)Cl,3.35,4.8
C1(=C([C](C(=O)C(=C1Cl)Cl)Cl)Cl)[N]Sc1ccccc1,2.77,4.87
[C]12N(c3c(N=C1C=CC(=C2)N(=O)=O)cccc3)[O],2.64,4.9
O[C@@H]1[C@H](Oc2c(C1)c(O)cc(c2)O)C1=CC(=O)C(=O)C=C1,2.98,4.61
c12c(c(ccc1O)O)C(=O)C=CC2=O,2.66,4.84
C1=N[CH][CH][C]([C]2[C]N12)c1ccncc1C,2.56,4.33
C1CC[C@@](SC1)(C)C(Cl)(Cl)Cl,2.66,4.95
c12cc3c(cc1N([O])OON2[O])nccn3,3.09,4.35
C(CN)C1=CC(=O)C(=O)C=C1,2.83,4.99
O(C)C1=C(OC)C(=O)C(=CC1=O)C,2.62,4.56
C1C[C@H]([C@H](SC1)C)C(Cl)(Cl)Cl,2.68,4.76
C(Cl)c1cc(CCl)c(c(c1C)C)C,2.5,4.9
C([C@@H]([C@@H]([C@@H](CO)O)O)O)n1c2c(nc3c1nc(=O)[nH]c3=O)cc(c(c2)C)C,2.5,4.95
N(=O)(=O)c1c(N(=O)=O)ccc(c1)Sc1ccccc1,2.54,4.93
c1cc2c3c4c1c(=O)n(c(=O)c4ccc3c1c3c2ccc2c3c(cc1)c(=O)n(c2=O)C)C,2.53,4.5
S(Sc1nc2c(s1)cccc2)c1nc2c(s1)cccc2,2.64,4.91
P(=O)(C([C@@H](N(C)C)OC)(Cl)Cl)(OCC)OCC,2.62,4.4
O=C1c2c(C(=O)C=C1[C@@H](CC=C(C)C)O)c(O)ccc2O,2.59,4.87
[C@@]12([C@]3(C(=C4C(=C1C=C(S2)C=O)C(C(C4(F)F)(F)F)(F)F)C=C(S3)C=O)CCC)CCC,2.8,4.2
c1(c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O)Nc1ccc(cc1)c1ccccc1,2.58,4.58
COc1ccsc1C(Cl)(Cl)Cl,3.03,4.76
c1cc(C#N)c2c(c1)n(C#N)s[nH]2,3.27,4.2
c1(c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O)Nc1c2c(c(cc(n2)C)C)ccc1,2.53,4.64
c1c(csc1N)C(Cl)(Cl)Cl,3.06,4.06
c1cc2c(cc1N(=O)=O)n(N(=O)=O)s[nH]2,3.21,4.35
c1cc2c3c4c1c(=O)n(c(=O)c4cc(c3c1c3c2c(cc2c3c(cc1)c(=O)n(c2=O)C)SC)SC)C,2.52,4.19
COCCOn1c2c(cccc2[nH]s1)C(Cl)(Cl)Cl,2.91,4.0
c1cc2c3c4c1c(=O)n1c(c4ccc3c3c4c2ccc2c4c(cc3)c3n(c2=O)c2c(n3)cc(c(c2)C)C)nc2c1cc(c(c2)C)C,2.51,4.07
c1cc2c3c4c1c(=O)n1c(c4ccc3c3ccc4c5c3c2ccc5c2n(c4=O)c3c(n2)cc(c(c3)OC)OC)nc2c1cc(c(c2)OC)OC,2.5,4.01
C#Cn1c2ccccc2n(N(=O)=O)s1,3.14,4.17
c1cc2c3c4c1c1n(c(=O)c4ccc3c3c4c2ccc2c4c(cc3)c3n(c2=O)c2c(n3)cccc2)c2c(n1)cccc2,2.55,4.23
c1cc2c3c4c1c(=O)n1c(c4ccc3c3ccc4c5c3c2ccc5c2n(c4=O)c3c(n2)cc(c(c3)C)C)nc2c1cc(c(c2)C)C,2.5,4.12
COc1ccc(C(Cl)(Cl)Cl)s1,3.13,4.56
c1(=O)n(c(=O)c2cc3c4c5c2c1cc1c5c2c5c4c(cc4c(=O)n(c(=O)c(c54)cc2n2n1c(=O)n(c2=O)C)C)n1n3c(=O)n(c1=O)C)C,2.76,4.0
c1cc2c3c4c1c(=O)n(c(=O)c4cc1c3c3c4c2ccc2c4c(cc3ss1)c(=O)[nH]c2=O)C,2.77,4.36
c12c3c4c5[n]c2ccc2c1c([n]c3ccc4c(=O)c1c5cccc1)c1c(c2=O)cccc1,2.64,4.97
S(SCCN)CCN.Cl.Cl,2.63,4.71
Cn1c2=C[CH]C=Cc2ns1.[Cl],3.31,4.53
COCCOCCOc1ccsc1C(Cl)(Cl)Cl,2.9,4.78
C/C(=N\c1ccsc1C(Cl)(Cl)Cl)/O,3.36,4.56
c1(=O)n(c(=O)c2ccc3c4c2c1cc1c4c2c4c3ccc3c(=O)n(c(=O)c(c43)cc2n2n1c(=O)n(c2=O)C)C)C,2.64,4.09
COCCOCCOc1cscc1C(Cl)(Cl)Cl,2.73,4.79
c1ccc(cc1)c1cc(cs1)C(Cl)(Cl)Cl,2.88,4.64
c1c2c3c4c5c1c(=O)n(c(=O)c5cc1c4c4c5c3c(cc3c5c(cc4ss1)c(=O)n(c3=O)C)ss2)C,2.9,4.38
c1(=O)n(c(=O)c2ccc3c4c2c1cc1c4c2c4c3ccc3c(=O)n(c(=O)c(c43)cc2c2c1C(=O)OC2=O)C)C,2.6,4.98
c1c(c2c3c4c1c(=O)n(c(=O)c4cc(c3c1c3c2c(cc2c3c(cc1F)c(=O)n(c2=O)C)F)F)C)F,2.67,4.72
c1ccc(cc1)c1cc(C(Cl)(Cl)Cl)sc1,2.91,4.69
c1csc(c1C(Cl)(Cl)Cl)O,2.97,4.68
c1csc(c1O)C(Cl)(Cl)Cl,3.34,4.91
COCCOc1ccsc1C(Cl)(Cl)Cl,2.95,4.76
c1cc(O)sc1C(Cl)(Cl)Cl,3.45,4.71
COCCOCCOc1c(ccs1)C(Cl)(Cl)Cl,2.78,4.56
COCCOC1=c2c(C=C[CH]1)ns[nH]2.[Cl],3.34,4.52
COCCOc1c(ccs1)C(Cl)(Cl)Cl,2.87,4.53
COCCOc1ccc(C(Cl)(Cl)Cl)s1,3.11,4.55
[CH]1C=C(c2c(=C1)[nH]sn2)N.[Cl],2.95,4.82
c1c(c(cs1)O)C(Cl)(Cl)Cl,3.16,4.88
c1cc2c3c4c1c(=O)n(c(=O)c4cc(c3c1c3c2c(cc2c3c(cc1)c(=O)n(c2=O)C)F)F)C,2.58,4.6
c1cc2c3c4c1c(=O)n(c(=O)c4cc(c3c1c3c2c(cc2c3c(cc1)c(=O)n(c2=O)C)C#N)C#N)C,2.94,4.94
c1cc2c(cc1C(Cl)(Cl)Cl)ON(N(=O)=O)O2,3.31,4.61
CN(CC=C(Cl)Cl)C(=C(Cl)Cl)CNC.Cl.Cl,2.82,4.16
CC1=CC=C[C@H]1C(Cl)(Cl)Cl,2.51,4.65
C[C@H]1C=CC=C1C(Cl)(Cl)Cl,3.23,4.91
CN(C)[C@H]1C=CC=C1C(Cl)(Cl)Cl,3.31,4.17
C=CC1=CC=C[C@H]1C(Cl)(Cl)Cl,2.54,4.38
c1ccc(cc1)C1=CC=C[C@H]1C(Cl)(Cl)Cl,2.59,4.38
C1=C[C@@H](C(=C1)C(Cl)(Cl)Cl)N,3.34,4.77
CN[C@@H](CNC)C(=N)O.C=CN(=O)=O,2.52,4.13
CNCCNC.C(#N)/C=C\C(Cl)(Cl)Cl,3.28,4.06
c1c(C(Cl)(Cl)Cl)nc(cn1)N,2.76,4.97
CN(C)c1cncc(C(Cl)(Cl)Cl)n1,2.71,4.51
CNc1cncc(C(Cl)(Cl)Cl)n1,2.74,4.71
